cohort,state,basin,basin_label_readable,is_local_minimum,occupancy,occupancy_prop,cs_delta,prop_CSplus,prop_CSminus,prop_ITI,enriched_event,max_enrichment,enrich_CSplus,enrich_CSminus,enrich_ITI,binary,binary_01,sigma_pattern
HC,26,4,Global on,False,29,0.01039426523297491,-0.13793103448275862,0.034482758620689655,0.1724137931034483,0.7931034482758621,ITI,0.1988382153009517,-0.16336670374490175,-0.03547151155604991,0.1988382153009517,10011,10011,+--++
HC,27,4,Global on,False,40,0.014336917562724014,-0.075,0.075,0.15,0.775,ITI,0.18073476702508962,-0.1228494623655914,-0.057885304659498205,0.18073476702508962,1011,1011,-+-++
HC,17,1,Global off,False,131,0.04695340501792115,-0.06870229007633588,0.08396946564885496,0.15267175572519084,0.7633587786259542,ITI,0.16909354565104384,-0.11387999671673643,-0.055213548934307355,0.16909354565104384,1,1,----+
HC,16,4,Global on,False,108,0.03870967741935484,0.12037037037037038,0.3611111111111111,0.24074074074074073,0.39814814814814814,CS+,0.1632616487455197,0.1632616487455197,0.03285543608124253,-0.19611708482676227,11110,11110,++++-
HC,19,3,Safety-like,False,84,0.030107526881720432,-0.10714285714285715,0.07142857142857142,0.17857142857142858,0.75,ITI,0.1557347670250896,-0.12642089093701997,-0.029313876088069624,0.1557347670250896,1001,1001,-+--+
HC,7,1,Global off,False,34,0.012186379928315413,-0.2058823529411765,0.14705882352941177,0.35294117647058826,0.5,CS-,0.14505587181109006,-0.050790638836179625,0.14505587181109006,-0.0942652329749104,1100,1100,-++--
HC,13,2,Threat-like,True,163,0.05842293906810036,0.1656441717791411,0.3312883435582822,0.1656441717791411,0.5030674846625767,CS+,0.1334388811926908,0.1334388811926908,-0.04224113288035711,-0.09119774831233374,110,110,--++-
HC,11,1,Global off,False,25,0.008960573476702509,0.08000000000000002,0.32,0.24,0.44,CS+,0.12215053763440861,0.12215053763440861,0.03211469534050179,-0.1542652329749104,1010,1010,-+-+-
HC,20,3,Safety-like,True,175,0.06272401433691756,-0.14857142857142858,0.06857142857142857,0.21714285714285714,0.7142857142857143,ITI,0.1200204813108039,-0.1292780337941628,0.009257552483358938,0.1200204813108039,11001,11001,++--+
HC,3,1,Global off,False,56,0.02007168458781362,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,ITI,0.1200204813108039,-0.054992319508448545,-0.06502816180235535,0.1200204813108039,1000,1000,-+---
