cohort,source,target,count,source_basin,target_basin,most_common_source_event,most_common_target_event,source_total,probability,subject_support_count,n_subjects_in_cohort,subject_support_prop,source_basin_label,target_basin_label
HC,3,1,10,1,1,ITI,ITI,52,0.19230769230769232,8,24,0.3333333333333333,Global off,Global off
HC,24,32,15,4,4,ITI,ITI,79,0.189873417721519,11,24,0.4583333333333333,Global on,Global on
HC,2,1,21,1,1,ITI,ITI,113,0.18584070796460178,12,24,0.5,Global off,Global off
HC,23,24,7,4,4,ITI,ITI,44,0.1590909090909091,6,24,0.25,Global on,Global on
HC,13,1,22,2,1,CS+,ITI,139,0.15827338129496402,14,24,0.5833333333333334,Threat-like,Global off
HC,27,20,6,4,3,ITI,ITI,38,0.15789473684210525,5,24,0.20833333333333334,Global on,Safety-like
HC,16,32,15,4,4,ITI,ITI,99,0.15151515151515152,10,24,0.4166666666666667,Global on,Global on
PTSD,31,32,34,4,4,ITI,ITI,112,0.30357142857142855,18,24,0.75,Global on,Global on
PTSD,2,1,23,1,1,ITI,ITI,106,0.2169811320754717,14,24,0.5833333333333334,Global off,Global off
PTSD,17,1,20,1,1,ITI,ITI,96,0.20833333333333334,11,24,0.4583333333333333,Global off,Global off
PTSD,12,1,7,3,1,ITI,ITI,40,0.175,6,24,0.25,Safety-like,Global off
PTSD,24,32,12,4,4,ITI,ITI,74,0.16216216216216217,8,24,0.3333333333333333,Global on,Global on
merged,31,32,46,4,4,ITI,ITI,221,0.2081447963800905,28,48,0.5833333333333334,Global on,Global on
merged,2,1,44,1,1,ITI,ITI,219,0.2009132420091324,26,48,0.5416666666666666,Global off,Global off
merged,24,32,27,4,4,ITI,ITI,153,0.17647058823529413,19,48,0.3958333333333333,Global on,Global on
merged,3,1,16,1,1,ITI,ITI,99,0.16161616161616163,13,48,0.2708333333333333,Global off,Global off
