cohort,source,target,count,source_basin,target_basin,most_common_source_event,most_common_target_event,source_total,probability,subject_support_count,n_subjects_in_cohort,subject_support_prop,source_basin_label,target_basin_label
merged,31,32,46,4,4,ITI,ITI,221,0.2081447963800905,28,48,0.5833333333333334,Global on,Global on
merged,2,1,44,1,1,ITI,ITI,219,0.2009132420091324,26,48,0.5416666666666666,Global off,Global off
merged,24,32,27,4,4,ITI,ITI,153,0.17647058823529413,19,48,0.3958333333333333,Global on,Global on
merged,3,1,16,1,1,ITI,ITI,99,0.16161616161616163,13,48,0.2708333333333333,Global off,Global off
merged,17,1,31,1,1,ITI,ITI,215,0.14418604651162792,20,48,0.4166666666666667,Global off,Global off
merged,14,13,23,2,2,CS+,ITI,162,0.1419753086419753,20,48,0.4166666666666667,Threat-like,Threat-like
merged,12,1,14,3,1,ITI,ITI,106,0.1320754716981132,12,48,0.25,Safety-like,Global off
merged,25,1,14,1,1,ITI,ITI,107,0.1308411214953271,11,48,0.22916666666666666,Global off,Global off
merged,9,1,19,1,1,ITI,CS+,146,0.13013698630136986,16,48,0.3333333333333333,Global off,Global off
merged,16,32,27,4,4,ITI,ITI,210,0.12857142857142856,19,48,0.3958333333333333,Global on,Global on
merged,5,1,22,1,1,ITI,ITI,172,0.12790697674418605,18,48,0.375,Global off,Global off
merged,3,2,12,1,1,ITI,ITI,99,0.12121212121212122,10,48,0.20833333333333334,Global off,Global off
merged,7,32,8,1,4,ITI,ITI,68,0.11764705882352941,8,48,0.16666666666666666,Global off,Global on
merged,23,24,11,4,4,ITI,ITI,94,0.11702127659574468,10,48,0.20833333333333334,Global on,Global on
merged,23,32,11,4,4,ITI,ITI,94,0.11702127659574468,11,48,0.22916666666666666,Global on,Global on
merged,27,20,9,4,3,ITI,ITI,77,0.11688311688311688,8,48,0.16666666666666666,Global on,Safety-like
merged,27,28,9,4,4,ITI,ITI,77,0.11688311688311688,9,48,0.1875,Global on,Global on
merged,12,32,12,3,4,ITI,ITI,106,0.11320754716981132,10,48,0.20833333333333334,Safety-like,Global on
merged,13,1,30,2,1,CS+,ITI,267,0.11235955056179775,22,48,0.4583333333333333,Threat-like,Global off
merged,28,20,18,4,3,ITI,ITI,161,0.11180124223602485,17,48,0.3541666666666667,Global on,Safety-like
merged,24,20,17,4,3,ITI,ITI,153,0.1111111111111111,15,48,0.3125,Global on,Safety-like
merged,22,20,4,4,3,CS-,ITI,37,0.10810810810810811,4,48,0.08333333333333333,Global on,Safety-like
merged,22,31,4,4,4,CS+,ITI,37,0.10810810810810811,4,48,0.08333333333333333,Global on,Global on
merged,10,1,11,1,1,ITI,ITI,104,0.10576923076923077,10,48,0.20833333333333334,Global off,Global off
merged,18,17,11,3,1,ITI,ITI,104,0.10576923076923077,9,48,0.1875,Safety-like,Global off
merged,29,32,22,2,4,ITI,ITI,209,0.10526315789473684,18,48,0.375,Threat-like,Global on
merged,11,31,5,1,4,CS+,ITI,48,0.10416666666666667,5,48,0.10416666666666667,Global off,Global on
merged,11,32,5,1,4,ITI,CS+,48,0.10416666666666667,4,48,0.08333333333333333,Global off,Global on
merged,8,13,10,3,2,CS+,ITI,97,0.10309278350515463,10,48,0.20833333333333334,Safety-like,Threat-like
merged,4,1,22,3,1,ITI,ITI,215,0.10232558139534884,19,48,0.3958333333333333,Safety-like,Global off
merged,26,29,5,4,2,ITI,ITI,49,0.10204081632653061,5,48,0.10416666666666667,Global on,Threat-like
merged,19,17,15,3,1,ITI,ITI,148,0.10135135135135136,11,48,0.22916666666666666,Safety-like,Global off
merged,19,20,15,3,3,ITI,ITI,148,0.10135135135135136,12,48,0.25,Safety-like,Safety-like
merged,6,14,9,1,2,ITI,CS+,90,0.1,9,48,0.1875,Global off,Threat-like
merged,5,13,17,1,2,ITI,ITI,172,0.09883720930232558,16,48,0.3333333333333333,Global off,Threat-like
merged,17,20,21,1,3,ITI,ITI,215,0.09767441860465116,15,48,0.3125,Global off,Safety-like
merged,10,13,10,1,2,CS-,CS+,104,0.09615384615384616,7,48,0.14583333333333334,Global off,Threat-like
merged,9,2,14,1,1,ITI,CS-,146,0.0958904109589041,12,48,0.25,Global off,Global off
merged,23,31,9,4,4,ITI,ITI,94,0.09574468085106383,8,48,0.16666666666666666,Global on,Global on
merged,29,31,20,2,4,ITI,CS+,209,0.09569377990430622,16,48,0.3333333333333333,Threat-like,Global on
merged,21,20,9,1,3,ITI,ITI,95,0.09473684210526316,7,48,0.14583333333333334,Global off,Safety-like
merged,21,32,9,1,4,ITI,ITI,95,0.09473684210526316,8,48,0.16666666666666666,Global off,Global on
merged,19,32,14,3,4,ITI,ITI,148,0.0945945945945946,13,48,0.2708333333333333,Safety-like,Global on
merged,12,4,10,3,3,CS-,ITI,106,0.09433962264150944,7,48,0.14583333333333334,Safety-like,Safety-like
merged,20,32,26,3,4,ITI,ITI,280,0.09285714285714286,18,48,0.375,Safety-like,Global on
merged,32,20,37,4,3,ITI,ITI,399,0.09273182957393483,24,48,0.5,Global on,Safety-like
merged,3,32,9,1,4,ITI,CS+,99,0.09090909090909091,8,48,0.16666666666666666,Global off,Global on
merged,20,4,25,3,3,ITI,ITI,280,0.08928571428571429,19,48,0.3958333333333333,Safety-like,Safety-like
merged,6,1,8,1,1,ITI,ITI,90,0.08888888888888889,8,48,0.16666666666666666,Global off,Global off
merged,6,13,8,1,2,CS+,CS+,90,0.08888888888888889,8,48,0.16666666666666666,Global off,Threat-like
merged,6,32,8,1,4,ITI,ITI,90,0.08888888888888889,7,48,0.14583333333333334,Global off,Global on
merged,15,13,10,2,2,CS-,ITI,113,0.08849557522123894,6,48,0.125,Threat-like,Threat-like
merged,15,16,10,2,4,CS+,ITI,113,0.08849557522123894,10,48,0.20833333333333334,Threat-like,Global on
merged,15,32,10,2,4,CS+,ITI,113,0.08849557522123894,10,48,0.20833333333333334,Threat-like,Global on
merged,17,32,19,1,4,ITI,ITI,215,0.08837209302325581,14,48,0.2916666666666667,Global off,Global on
merged,7,20,6,1,3,CS-,CS-,68,0.08823529411764706,6,48,0.125,Global off,Safety-like
merged,28,17,14,4,1,ITI,ITI,161,0.08695652173913043,12,48,0.25,Global on,Global off
merged,28,32,14,4,4,ITI,ITI,161,0.08695652173913043,13,48,0.2708333333333333,Global on,Global on
merged,10,14,9,1,2,ITI,CS+,104,0.08653846153846154,7,48,0.14583333333333334,Global off,Threat-like
merged,16,13,18,4,2,CS+,CS+,210,0.08571428571428572,17,48,0.3541666666666667,Global on,Threat-like
merged,30,13,10,4,2,CS+,CS+,119,0.08403361344537816,9,48,0.1875,Global on,Threat-like
merged,11,16,4,1,4,ITI,ITI,48,0.08333333333333333,4,48,0.08333333333333333,Global off,Global on
merged,8,2,8,3,1,ITI,ITI,97,0.08247422680412371,8,48,0.16666666666666666,Safety-like,Global off
merged,26,2,4,4,1,ITI,ITI,49,0.08163265306122448,4,48,0.08333333333333333,Global on,Global off
merged,26,28,4,4,4,ITI,ITI,49,0.08163265306122448,4,48,0.08333333333333333,Global on,Global on
merged,31,20,18,4,3,ITI,ITI,221,0.08144796380090498,16,48,0.3333333333333333,Global on,Safety-like
merged,22,32,3,4,4,ITI,CS-,37,0.08108108108108109,2,48,0.041666666666666664,Global on,Global on
merged,32,30,32,4,4,ITI,ITI,399,0.08020050125313283,20,48,0.4166666666666667,Global on,Global on
merged,15,1,9,2,1,ITI,ITI,113,0.07964601769911504,9,48,0.1875,Threat-like,Global off
merged,15,9,9,2,1,ITI,ITI,113,0.07964601769911504,9,48,0.1875,Threat-like,Global off
merged,4,32,17,3,4,ITI,ITI,215,0.07906976744186046,13,48,0.2708333333333333,Safety-like,Global on
merged,24,1,12,4,1,ITI,ITI,153,0.0784313725490196,12,48,0.25,Global on,Global off
merged,27,1,6,4,1,ITI,CS+,77,0.07792207792207792,6,48,0.125,Global on,Global off
merged,18,1,8,3,1,CS-,ITI,104,0.07692307692307693,7,48,0.14583333333333334,Safety-like,Global off
merged,18,2,8,3,1,ITI,ITI,104,0.07692307692307693,8,48,0.16666666666666666,Safety-like,Global off
merged,1,5,31,1,1,ITI,ITI,406,0.07635467980295567,24,48,0.5,Global off,Global off
merged,30,31,9,4,4,CS+,ITI,119,0.07563025210084033,8,48,0.16666666666666666,Global on,Global on
merged,12,16,8,3,4,CS-,CS-,106,0.07547169811320754,7,48,0.14583333333333334,Safety-like,Global on
merged,9,32,11,1,4,ITI,ITI,146,0.07534246575342465,9,48,0.1875,Global off,Global on
merged,13,5,20,2,1,ITI,ITI,267,0.0749063670411985,17,48,0.3541666666666667,Threat-like,Global off
merged,25,17,8,1,1,ITI,ITI,107,0.07476635514018691,7,48,0.14583333333333334,Global off,Global off
merged,28,1,12,4,1,ITI,ITI,161,0.07453416149068323,9,48,0.1875,Global on,Global off
merged,23,20,7,4,3,ITI,ITI,94,0.07446808510638298,6,48,0.125,Global on,Safety-like
